User ID,Site Code,Display Name,Rank,Role,City,Province,Role,Region,Branch
7023,7023,7023 - EIGER Adventure Store Slamet Riyadi Samarinda,7023 - EIGER Adventure Store Slamet Riyadi Samarinda Store Head,Store,KOTA SAMARINDA,KALIMANTAN TIMUR,Store,REGION 5,IBT 1
5048,5048,5048 - EIGER Adventure Store Palembang Square Pelembang,5048 - EIGER Adventure Store Palembang Square Pelembang Store Head,Store,KOTA PALEMBANG,SUMATERA SELATAN,Store,REGION 2,SUMATERA 1
2265,2265,2265 - EIGER Adventure Store Hankam Bekasi,2265 - EIGER Adventure Store Hankam Bekasi Store Head,Store,KOTA BEKASI,JAWA BARAT,Store,REGION 1,DKI 2
2060,2060,2060 - EIGER Adventure Store M Yamin Samarinda,2060 - EIGER Adventure Store M Yamin Samarinda Store Head,Store,KOTA SAMARINDA,KALIMANTAN TIMUR,Store,REGION 5,IBT 1
2178,2178,2178 - EIGER Adventure Store Jati Asih Bekasi,2178 - EIGER Adventure Store Jati Asih Bekasi Store Head,Store,KOTA BEKASI,JAWA BARAT,Store,REGION 1,DKI 2
5017,5017,5017 - EIGER Adventure Store Grage Mall Cirebon,5017 - EIGER Adventure Store Grage Mall Cirebon Store Head,Store,KOTA CIREBON,JAWA BARAT,Store,REGION 2,JAWA BARAT 3
2008,2008,2008 - EIGER Adventure Store Pajajaran Bogor,2008 - EIGER Adventure Store Pajajaran Bogor Store Head,Store,KOTA BOGOR,JAWA BARAT,Store,REGION 1,DKI 4
2122,2122,2122 - EIGER Adventure Store Kelapa Gading Tanjungpriok,2122 - EIGER Adventure Store Kelapa Gading Tanjungpriok Store Head,Store,KOTA JAKARTA UTARA,DKI JAKARTA,Store,REGION 1,DKI 1
2085,2085,2085 - EIGER Adventure Store Sunan Kudus,2085 - EIGER Adventure Store Sunan Kudus Store Head,Store,KABUPATEN KUDUS,JAWA TENGAH,Store,REGION 3,JAWA TENGAH 2
2077,2077,2077 - EIGER Adventure Store Pahlawan Sidoarjo,2077 - EIGER Adventure Store Pahlawan Sidoarjo Store Head,Store,KABUPATEN SIDOARJO,JAWA TIMUR,Store,REGION 4,JAWA TIMUR 1
2242,2242,2242 - EIGER Adventure Store Sudirman Probolinggo,2242 - EIGER Adventure Store Sudirman Probolinggo Store Head,Store,KOTA PROBOLINGGO,JAWA TIMUR,Store,REGION 4,JAWA TIMUR 2
2258,2258,2258 - EIGER Adventure Store Diponegoro Bondowoso,2258 - EIGER Adventure Store Diponegoro Bondowoso Store Head,Store,KABUPATEN BONDOWOSO,JAWA TIMUR,Store,REGION 4,JAWA TIMUR 2
2284,2284,2284 - EIGER Adventure Store TDM Kupang,2284 - EIGER Adventure Store TDM Kupang Store Head,Store,KOTA KUPANG,NTT,Store,REGION 5,IBT 3
2125,2125,2125 - EIGER Adventure Store Pengayoman Makassar,2125 - EIGER Adventure Store Pengayoman Makassar Store Head,Store,KOTA MAKASSAR,SULAWESI SELATAN,Store,REGION 5,IBT 2
2268,2268,2268 - EIGER Adventure Store A.Yani Bone Watampone,2268 - EIGER Adventure Store A.Yani Bone Watampone Store Head,Store,KABUPATEN BONE,SULAWESI SELATAN,Store,REGION 5,IBT 2
2262,2262,2262 - EIGER Adventure Store Sam Ratulangi Bulukumba,2262 - EIGER Adventure Store Sam Ratulangi Bulukumba Store Head,Store,KABUPATEN BULUKUMBA,SULAWESI SELATAN,Store,REGION 5,IBT 2
2135,2135,2135 - EIGER Adventure Store Kemanggisan Grogol Petamburan,2135 - EIGER Adventure Store Kemanggisan Grogol Petamburan Store Head,Store,KOTA JAKARTA BARAT,DKI JAKARTA,Store,REGION 1,DKI 1
2309,2309,2309 - EIGER Adventure Store Rawamangun Cakung,2309 - EIGER Adventure Store Rawamangun Cakung Store Head,Store,KOTA JAKARTA TIMUR,DKI JAKARTA,Store,REGION 1,DKI 2
2393,2393,2393 - EIGER Adventure Store Grand Depok Depok,2393 - EIGER Adventure Store Grand Depok Depok Store Head,Store,KOTA DEPOK,JAWA BARAT,Store,REGION 1,DKI 4
2332,2332,2332 - EIGER Adventure Store Canggu Mengwi,2332 - EIGER Adventure Store Canggu Mengwi Store Head,Store,KABUPATEN BADUNG,BALI,Store,REGION 5,IBT 3
2090,2090,2090 - EIGER Adventure Store Jen.Sudirman Purwakarta,2090 - EIGER Adventure Store Jen.Sudirman Purwakarta Store Head,Store,KABUPATEN PURWAKARTA,JAWA BARAT,Store,REGION 2,JAWA BARAT 4
2458,2458,2458 - EIGER Adventure Store Ciranjang Cianjur,2458 - EIGER Adventure Store Ciranjang Cianjur Store Head,Store,KABUPATEN CIANJUR,JAWA BARAT,Store,REGION 2,JAWA BARAT 4
2448,2448,2448 - Eiger Store Pattimura Pasuruan,2448 - Eiger Store Pattimura Pasuruan Store Head,Store,KOTA PASURUAN,JAWA TIMUR,Store,REGION 4,JAWA TIMUR 2
2129,2129,2129 - EIGER Adventure Store Iskandar Pelembang,2129 - EIGER Adventure Store Iskandar Pelembang Store Head,Store,KOTA PALEMBANG,SUMATERA SELATAN,Store,REGION 2,SUMATERA 1
2180,2180,2180 - EIGER Adventure Store Dramaga Bogor,2180 - EIGER Adventure Store Dramaga Bogor Store Head,Store,KABUPATEN BOGOR,JAWA BARAT,Store,REGION 1,DKI 4
2225,2225,2225 - EIGER Adventure Store Antasari Bandar Lampung,2225 - EIGER Adventure Store Antasari Bandar Lampung Store Head,Store,KOTA BANDAR LAMPUNG,LAMPUNG,Store,REGION 2,SUMATERA 1
2321,2321,2321 - EIGER Adventure Store Sipin Jambi,2321 - EIGER Adventure Store Sipin Jambi Store Head,Store,KOTA JAMBI,JAMBI,Store,REGION 3,SUMATERA 2
2410,2410,2410 - EIGER Adventure Store Parangtritis Yogyakarta,2410 - EIGER Adventure Store Parangtritis Yogyakarta Store Head,Store,KABUPATEN BANTUL,DIY,Store,REGION 3,JAWA TENGAH 1
2267,2267,2267 - EIGER Adventure Store Masjid Jamik Pangkal Pinang,2267 - EIGER Adventure Store Masjid Jamik Pangkal Pinang Store Head,Store,KOTA PANGKALPINANG,KEP. BANGKA BELITUNG,Store,REGION 2,SUMATERA 1
